,CellType,x_global,y_global
embryo1_Pos0_cell42_z2,Lateral plate mesoderm,1620.0751939784,1357.25384354722
embryo1_Pos0_cell420_z2,Lateral plate mesoderm,1645.23936523438,1348.65779715402
embryo1_Pos0_cell421_z2,Lateral plate mesoderm,1645.30253917903,1341.35862509789
embryo1_Pos0_cell422_z2,Lateral plate mesoderm,1645.4259010171,1349.8276966023
embryo1_Pos0_cell423_z2,Lateral plate mesoderm,1645.92460818407,1347.78596012767
embryo1_Pos0_cell424_z2,Lateral plate mesoderm,1645.54204569777,1357.92958716824
embryo1_Pos0_cell425_z2,Lateral plate mesoderm,1645.38022641782,1342.27153862847
embryo1_Pos0_cell426_z2,Lateral plate mesoderm,1645.58919681357,1355.22966533174
embryo1_Pos0_cell427_z2,Lateral plate mesoderm,1645.92637734264,1343.97851632056
embryo1_Pos0_cell428_z2,Lateral plate mesoderm,1645.85150294389,1352.14630491784
embryo1_Pos0_cell429_z2,Lateral plate mesoderm,1645.9090905568,1353.21219075521
embryo1_Pos0_cell43_z2,Erythroid,1619.62604050409,1344.28682454427
embryo1_Pos0_cell430_z2,Endothelium,1645.80848027619,1359.54429948834
embryo1_Pos0_cell431_z2,Lateral plate mesoderm,1646.10796164169,1342.84767784067
embryo1_Pos0_cell432_z2,Lateral plate mesoderm,1646.14273567827,1345.45401452882
embryo1_Pos0_cell433_z2,Lateral plate mesoderm,1646.5004933827,1350.59876472132
embryo1_Pos0_cell434_z2,Lateral plate mesoderm,1646.28561523437,1356.95289202009
embryo1_Pos0_cell435_z2,Lateral plate mesoderm,1646.18407103392,1354.07861108178
embryo1_Pos0_cell436_z2,Lateral plate mesoderm,1646.23394523179,1341.85626573799
